ID,trial,order,arena,time,date,pellents,locomotion,echo,grooming,latency10cmStim,time10cmStim,lines,latency10cmNonStim,time10cmNonStim,timeEntranceArm
0006EE29D3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0006F24C83,1,11,B,0:43,2014-07-20,0,125,175,0,300,0,2,12,134,166
0006A94560,1,6,A,0:04,2014-07-20,0,262,38,0,4,54,17,46,80,166
0006C77188,1,5,B,23:57,2014-07-19,0,296,4,0,30,58,15,3,125,117
0006A94482,1,4,A,23:50,2014-07-19,0,222,78,0,4,218,8,141,33,49
0006EB35A6,1,7,B,0:11,2014-07-20,0,300,0,0,30,52,15,4,138,110
00069D3BB1,1,2,A,23:36,2014-07-19,0,70,230,0,300,0,2,9,53,247
0006A94433,1,15,B,1:11,2014-07-20,0,30,270,0,300,0,1,6,294,6
0006F23BA0,1,3,B,23:43,2014-07-19,0,253,47,0,3,154,9,154,67,79
0006F20375,1,10,A,0:35:30,2014-07-20,0,269,31,0,7,89,7,79,60,151
0006E92725,1,1,B,23:29,2014-07-19,0,202,98,0,238,56,7,15,92,152
0006F23FC1,1,14,A,1:04,2014-07-20,0,295,5,0,51,97,14,3,70,133
0006EE3538,1,12,A,0:50,2014-07-20,0,298,2,0,3,87,13,8,121,92
0006C87335,1,9,B,0:27:30,2014-07-20,0,300,0,0,16,78,16,8,64,158
0006EA2D24,1,8,A,0:21,2014-07-20,0,270,30,0,123,45,11,5,165,90
0006D75739,1,13,B,0:57,2014-07-20,0,300,0,0,6,75,12,53,127,98
0006EA298F,2,7,A,23:35,2014-07-22,0,115,185,0,4,158,5,140,108,34
0006EA355C,2,10,B,23:56,2014-07-22,0,154,146,0,76,107,4,241,30,163
0006EB30BA,2,14,B,0:26:30,2014-07-23,0,273,27,0,17,65,14,3,91,144
0006D75D2A,2,11,A,0:04,2014-07-23,0,37,263,0,20,280,1,300,0,20
00069D2030,2,4,B,23:13:30,2014-07-22,0,284,0,15,6,15,15,27,158,127
0006EA1A80,2,6,B,23:28:30,2014-07-22,0,245,55,0,42,51,12,2,144,105
0006F23155,2,13,A,0:19,2014-07-23,0,82,218,0,21,69,3,230,71,160
0006DFB2CF,2,5,A,23:21,2014-07-22,0,229,71,0,4,16,7,129,48,236
0006F25426,2,3,A,23:06:30,2014-07-22,0,62,538,0,8,110,3,122,120,70
0006F2519F,2,1,A,22:53,2014-07-22,0,119,181,0,300,0,3,65,194,106
0006F2274A,2,15,A,0:33,2014-07-23,0,194,96,0,4,116,8,123,115,69
0006EA5C41,2,12,B,0:11,2014-07-23,0,29,571,0,300,0,0,300,0,300
0006EA2D5F,2,9,A,23:49,2014-07-22,0,284,16,0,3,51,11,76,180,69
0006C76FFA,2,8,B,23:41:30,2014-07-22,0,259,41,0,4,22,10,99,90,188
0006EA515D,2,2,B,22:59:30,2014-07-22,0,111,189,0,65,13,5,8,225,62
0006A9489D,3,10,A,23:14:30,2014-07-28,0,239,40,21,3,71,14,51,112,117
0006A9EE51,3,13,B,23:34:30,2014-07-28,0,100,200,0,114,63,1,300,0,237
0006C74AE3,3,12,A,23:27,2014-07-28,0,234,24,42,300,0,7,20,79,221
0006C75C20,3,3,B,22:28,2014-07-28,0,214,64,22,7,116,13,71,76,108
0006C77E87,3,2,A,22:21,2014-07-28,0,171,121,8,249,44,4,4,100,156
0006C88DAA,3,14,A,23:41,2014-07-28,0,292,8,0,158,5,12,4,159,136
0006D1B7FC,3,11,B,23:20:30,2014-07-28,1,28,272,0,51,226,1,300,0,74
0006D776D1,3,8,A,23:01,2014-07-28,0,106,187,0,300,0,5,5,269,31
0006D7903C,3,16,A,23:53:30,2014-07-28,0,192,73,35,300,0,5,3,210,90
0006E9B60D,3,9,B,23:07:30,2014-07-28,0,284,16,0,12,52,7,3,136,112
0006EE199D,3,4,A,22:35,2014-07-28,0,293,7,0,233,25,14,3,159,116
0006EE49E3,3,1,B,22:14:30,2014-07-28,0,23,277,0,300,0,1,55,246,54
0006F1EC08,3,15,B,23:47,2014-07-28,0,197,58,45,3,48,9,66,70,182
0006F2261E,3,7,B,22:54,2014-07-28,1,300,0,0,51,53,15,4,42,205
0006F236CF,3,6,A,22:47:30,2014-07-28,0,232,68,0,300,0,4,10,84,216
0006F23C6E,3,5,B,22:41:30,2014-07-28,0,98,202,0,8,20,3,90,211,69
00069D1852,4,1,B,23:38:30,2014-08-07,0,160,124,16,23,187,10,3,46,67
0006A9440F,4,11,B,0:48:30,2014-08-08,0,11,267,22,300,0,1,6,294,6
0006C75311,4,6,A,0:13,2014-08-08,0,250,50,0,4,49,16,19,111,140
0006C7662C,4,16,A,1:23,2014-08-08,0,280,20,0,4,33,16,14,86,181
0006C781EC,4,8,A,0:27:30,2014-08-08,0,183,117,0,5,93,5,300,0,207
0006C88832,4,13,B,1:02:30,2014-08-08,0,295,5,0,168,35,6,4,158,107
0006D74F66,4,12,A,0:55:30,2014-08-08,0,5,295,0,300,0,0,300,0,300
0006DE69A4,4,7,B,0:20,2014-08-08,0,64,236,0,300,0,1,12,288,12
0006DE9621,4,2,A,23:45,2014-08-07,0,300,0,0,19,82,14,3,97,121
0006DEADF3,4,10,A,0:41,2014-08-08,0,227,73,0,3,127,9,122,95,78
0006E9D973,4,15,B,1:16:30,2014-08-08,0,5,295,0,300,0,0,300,0,300
0006EA32D0,4,5,B,0:06,2014-08-08,0,27,273,0,20,251,2,277,24,25
0006EE27FD,4,4,A,23:59:30,2014-08-07,0,300,0,0,3,49,25,15,123,128
0006F1FA46,4,3,B,23:52:30,2014-08-07,0,25,234,41,5,295,1,300,0,5
0006F23B1E,4,14,A,1:09,2014-08-08,0,128,172,0,5,34,3,440,41,225
0006F24D69,4,9,B,0:34,2014-08-08,0,285,12,3,25,39,13,3,106,155
00069D10B5,5,11,B,23:33:30,2014-08-10,0,4,294,0,300,0,0,300,0,300
0006A9474D,5,10,A,23:27,2014-08-10,0,261,39,0,4,31,9,46,178,91
0006C75771,5,14,A,23:59:30,2014-08-10,0,22,278,0,300,0,1,14,286,14
0006C7597D,5,13,B,23:47:30,2014-08-10,0,35,265,0,300,0,0,300,0,300
0006C899E8,5,15,B,0:07,2014-08-11,0,32,268,0,300,0,0,300,0,300
0006D11E2D,5,12,A,23:41,2014-08-10,0,26,274,0,300,0,1,13,287,13
0006DFB3BF,5,4,A,22:45:30,2014-08-10,0,129,171,0,189,33,8,4,139,128
0006E92EE4,5,8,A,23:12:30,2014-08-10,0,294,6,0,3,35,20,34,183,82
0006EA2581,5,7,B,23:05,2014-08-10,1,271,29,0,64,58,15,2,118,124
0006EB3382,5,6,A,22:58,2014-08-10,0,57,243,0,300,0,1,5,295,5
0006EB3C37,5,3,B,22:38:30,2014-08-10,0,259,41,0,125,37,13,92,104,159
0006EE192D,5,16,A,0:13:30,2014-08-11,0,17,283,0,300,0,0,300,0,300
0006F2286F,5,1,B,22:25,2014-08-10,0,295,5,0,21,58,15,4,69,173
0006F2449B,5,2,A,22:31:30,2014-08-10,0,52,248,0,9,17,3,30,29,254
0006F2481C,5,9,B,23:19:30,2014-08-10,0,90,188,22,114,24,5,4,241,35
0006F25424,5,5,B,22:51:30,2014-08-10,0,18,282,0,300,0,1,283,17,283
00069D3E46,6,6,B,0:39:30,2014-08-14,0,9,291,0,300,0,1,4,296,4
0006A9421F,6,11,A,1:13:30,2014-08-14,1,298,2,0,8,64,22,33,97,139
0006A942F5,6,8,B,0:53:30,2014-08-14,0,300,0,0,17,109,9,4,75,116
0006A94348,6,10,B,1:06:30,2014-08-14,0,229,71,0,300,0,2,23,188,112
0006A94526,6,13,A,1:27,2014-08-14,0,88,212,0,5,236,7,254,27,37
0006A94559,6,12,B,1:20,2014-08-14,0,84,216,0,58,242,1,300,0,58
0006A9465F,6,7,A,0:46:30,2014-08-14,0,27,273,0,15,285,1,300,0,15
0006C7C86E,6,15,A,1:42,2014-08-14,0,22,278,0,300,0,1,300,0,300
0006C8918D,6,1,A,0:07,2014-08-14,0,73,227,0,36,264,1,300,0,36
0006DEC2AD,6,9,A,1:00,2014-08-14,0,300,0,0,33,50,17,3,82,168
0006E94152,6,16,B,1:48:30,2014-08-14,0,186,114,0,98,203,1,300,0,97
0006E9D96D,6,14,B,1:34,2014-08-14,0,59,241,0,300,0,1,157,144,156
0006EA3ED8,6,3,A,0:19:30,2014-08-14,0,9,291,0,5,295,1,300,0,5
0006EA73AD,6,2,B,0:13:30,2014-08-14,0,233,67,0,4,108,15,109,79,113
0006F23A76,6,4,B,0:26,2014-08-14,1,103,197,0,300,0,1,3,294,6
0006F240E3,6,5,A,0:32:30,2014-08-14,0,298,2,0,41,49,18,3,96,155
0006A94313,7,7,B,23:52:30,2014-08-16,0,300,0,0,26,27,8,2,212,61
0006A944DB,7,5,B,23:37:30,2014-08-16,0,293,7,0,15,74,16,3,136,90
0006C7566C,7,11,B,0:20,2014-08-17,0,300,0,0,131,57,21,3,140,103
0006C7576F,7,12,A,0:27,2014-08-17,0,169,131,0,300,0,3,300,0,300
0006C75A98,7,9,B,0:06,2014-08-17,0,300,0,0,13,3,16,3,49,248
0006C7841D,7,1,B,23:11,2014-08-16,0,129,171,0,300,0,2,13,92,208
0006C866DD,7,13,B,0:33:30,2014-08-17,0,175,125,0,197,80,4,300,0,220
0006DECB78,7,16,A,0:54,2014-08-17,0,232,68,0,5,198,9,90,35,67
0006DF87B8,7,10,A,0:13:30,2014-08-17,0,14,286,0,5,295,1,300,0,5
0006E93493,7,2,A,23:18,2014-08-16,0,61,239,0,300,0,0,300,0,300
0006E9EB6F,7,8,A,23:59,2014-08-16,0,19,281,0,7,293,1,300,0,7
0006E9EB7C,7,6,A,23:45:30,2014-08-16,0,17,283,0,300,0,1,7,293,7
0006EA3C24,7,4,A,23:31,2014-08-16,0,11,289,0,300,0,1,300,0,300
0006F22572,7,3,B,23:24:30,2014-08-16,0,298,2,0,291,9,8,3,180,111
0006F23306,7,14,A,0:40:30,2014-08-17,0,202,98,0,145,25,12,115,102,173
0006F245A1,7,15,B,0:47,2014-08-17,0,300,0,0,48,38,14,3,115,147
00069D1745,8,5,B,21:53,2014-08-28,0,300,0,0,30,32,26,1,117,151
0006A9447B,8,13,B,22:50,2014-08-28,0,226,74,0,132,92,8,3,170,38
0006A947CA,8,12,A,22:43,2014-08-28,0,185,115,0,4,123,4,153,111,66
0006C751CA,8,14,A,22:58,2014-08-28,0,242,58,0,127,43,15,2,96,161
0006C7E968,8,11,B,22:36:30,2014-08-28,0,16,284,0,3,297,1,300,0,3
0006C882AE,8,8,A,22:14,2014-08-28,0,264,36,0,2,139,10,85,79,82
0006C88830,8,2,A,21:32:30,2014-08-28,0,267,33,0,2,113,9,92,100,87
0006C8B1B6,8,1,B,21:25:30,2014-08-28,0,166,130,4,48,125,6,1,147,28
0006E9055F,8,15,B,23:05,2014-08-28,1,276,24,0,55,41,20,4,79,180
0006EA526C,8,6,A,21:59:30,2014-08-28,0,207,93,0,3,125,7,114,120,55
0006EE23EF,8,3,B,21:39:30,2014-08-28,0,300,0,0,3,77,19,21,112,111
0006EE2ABA,8,9,B,22:21:30,2014-08-28,0,300,0,0,19,35,19,3,133,132
0006F1E3F4,8,7,B,22:06,2014-08-28,0,56,244,0,3,277,1,300,0,23
0006F22A75,8,10,A,22:28,2014-08-28,0,268,32,0,27,14,11,3,149,137
0006F2531C,8,16,A,23:13,2014-08-28,0,300,0,0,8,67,15,21,104,129
0006F25504,8,4,A,21:46,2014-08-28,0,9,291,0,3,296,1,300,0,4
0006A940CB,9,16,B,0:30:30,2014-09-05,0,280,8,12,153,51,15,3,172,77
0006A943A9,9,3,A,22:48:30,2014-09-04,0,277,23,0,4,69,20,11,77,154
0006A943D8,9,6,B,23:10:30,2014-09-04,0,274,26,0,64,53,6,4,142,105
0006C74CD8,9,1,A,22:34:30,2014-09-04,1,23,277,0,300,0,0,300,0,300
0006C7537C,9,14,B,0:15,2014-09-05,0,70,230,0,300,0,1,63,238,62
0006C88E95,9,11,A,23:50,2014-09-04,0,206,67,27,2,106,6,85,91,103
0006D78BD3,9,4,B,22:57,2014-09-04,0,242,58,0,16,149,16,3,60,91
0006E906DE,9,15,A,0:22:30,2014-09-05,0,153,147,0,2,30,10,96,157,113
0006E90942,9,5,A,23:04,2014-09-04,0,56,244,0,54,246,1,300,0,54
0006E942C5,9,13,A,0:05:30,2014-09-05,0,273,24,3,5,58,9,63,87,155
0006E94D43,9,9,A,23:34:30,2014-09-04,0,238,62,0,1,95,11,81,118,87
0006E9EBF1,9,8,B,23:27:30,2014-09-04,0,34,266,0,300,0,0,300,0,300
0006F1E398,9,2,B,22:41:30,2014-09-04,0,300,0,0,35,87,21,5,57,156
0006F22AD4,9,10,B,23:42,2014-09-04,0,300,0,0,22,59,15,2,95,146
0006F23BFF,9,12,B,23:58,2014-09-04,0,300,0,0,8,72,9,3,188,40
0006F24BAA,9,7,A,23:18:30,2014-09-04,0,286,10,4,11,40,16,3,56,204
00069D1349,10,16,B,23:39:30,2014-09-07,0,278,22,0,129,31,8,4,156,113
0006AA127F,10,14,B,23:25,2014-09-07,0,215,85,0,46,30,13,4,93,177
0006C76169,10,4,B,22:01:30,2014-09-07,0,254,46,0,22,39,13,3,127,134
0006C77BF4,10,2,B,21:47:30,2014-09-07,1,296,4,0,12,87,18,4,36,177
0006C86599,10,13,A,23:17,2014-09-07,0,244,56,0,3,115,7,100,108,77
0006D76E62,10,15,A,23:32:30,2014-09-07,0,234,66,0,2,38,12,17,161,101
0006E91947,10,12,B,23:08:30,2014-09-07,0,224,76,0,6,103,7,95,93,104
0006EA7863,10,8,B,22:34:30,2014-09-07,0,251,34,15,15,24,9,2,213,63
0006EB42F7,10,9,A,22:47:30,2014-09-07,0,300,0,0,6,41,16,15,110,149
0006EE21E9,10,6,B,22:17:30,2014-09-07,0,159,141,0,39,39,10,3,88,173
0006EE2405,10,3,A,21:54:30,2014-09-07,0,288,12,0,60,30,15,4,155,115
0006EE4FA5,10,10,B,22:54,2014-09-07,0,298,2,0,3,52,20,22,67,181
0006F227CA,10,1,A,21:40,2014-09-07,0,148,152,0,15,238,5,199,24,38
0006F246D9,10,5,A,22:10:30,2014-09-07,0,279,21,0,2,57,16,31,98,145
0007283AB7,10,11,A,23:02,2014-09-07,0,300,0,0,4,56,14,25,106,138
00074F0993,10,7,A,22:26:30,2014-09-07,0,262,38,0,11,39,7,55,131,130
0006A941D6,11,10,B,22:31:00,2014-09-10,0,289,11,0,3,58,9,12,141,101
0006C75ECE,11,16,B,23:12,2014-09-10,0,183,114,3,49,59,14,75,69,172
0006C7673B,11,15,A,23:05:00,2014-09-10,0,300,0,0,5,36,16,12,168,96
0006C7673F,11,5,A,21:57,2014-09-10,0,282,18,0,4,15,5,139,126,159
0006C7819D,11,9,A,22:24:30,2014-09-10,0,297,3,0,4,24,12,31,174,102
0006D77323,11,7,A,22:10,2014-09-10,0,143,157,0,3,27,10,16,208,65
0006E022A0,11,2,B,21:36:00,2014-09-10,0,296,4,0,59,99,9,6,109,92
0006E9150F,11,1,A,21:29:30,2014-09-10,0,300,0,0,14,31,19,3,152,117
0006E9AFB5,11,11,A,22:37,2014-09-10,0,297,3,0,31,66,16,9,167,67
0006EA33BE,11,13,A,22:51,2014-09-10,0,224,76,0,4,107,9,79,128,65
0006EA374F,11,3,A,21:43,2014-09-10,0,36,264,0,3,13,2,300,0,287
0006EE1641,11,14,B,22:58,2014-09-10,0,24,78,198,300,0,1,5,291,9
0006EE186B,11,6,B,22:04:00,2014-09-10,0,272,28,0,6,76,16,36,86,138
0006F219CA,11,4,B,21:50,2014-09-10,0,228,72,0,3,36,13,158,46,218
0006F241DB,11,12,B,22:44:00,2014-09-10,0,45,245,10,300,0,2,3,26,274
0006F24D76,11,8,B,22:18,2014-09-10,0,243,57,0,4,64,11,72,82,154
0006A94424,12,11,A,22:39:30,2014-09-14,0,248,52,0,4,78,18,55,92,130
0006C858A6,12,9,A,22:25:30,2014-09-14,0,300,0,0,4,66,25,9,92,142
0006C8A4A7,12,15,A,23:11,2014-09-14,0,300,0,0,28,47,18,5,104,149
0006D12DB5,12,13,A,22:57,2014-09-14,0,300,0,0,4,50,14,35,114,136
0006DE9E91,12,8,B,22:18:30,2014-09-14,0,156,110,34,4,68,8,54,23,209
0006DEC4F0,12,6,B,22:05:30,2014-09-14,0,267,33,0,15,56,18,2,104,140
0006DEC8EF,12,4,B,21:51,2014-09-14,0,197,90,13,2,13,18,15,152,135
0006E93556,12,10,B,22:32,2014-09-14,0,183,117,0,4,160,9,61,57,83
0006E93571,12,16,B,23:18,2014-09-14,0,12,288,0,3,296,1,300,0,4
0006E9FD91,12,14,B,23:04:30,2014-09-14,0,297,3,0,21,89,12,3,130,81
0006EA2FCD,12,2,B,21:37,2014-09-14,0,287,13,0,3,52,18,16,124,124
0006EA3FAF,12,3,A,21:44:30,2014-09-14,0,274,26,0,2,13,15,8,112,175
0006EA4D46,12,12,B,22:46:30,2014-09-14,0,206,94,0,51,34,10,3,216,50
0006F20AE3,12,1,A,21:30:30,2014-09-14,0,278,22,0,4,75,14,31,98,127
0006F23614,12,5,A,21:59,2014-09-14,0,291,9,0,4,77,20,23,98,125
0006F23DA8,12,7,A,22:12,2014-09-14,0,274,26,0,3,10,10,18,177,113