ID,sex,min.ta,max.ta,dawn.ta,group.size,mass,fa
0006A9489D,F,14.2,32.6,15.4,3,8.4,37.1
0006A9EE51,M,14.2,32.6,15.4,5,7.8,37.4
0006C74AE3,F,14.2,32.6,15.4,5,9.1,38.6
0006C75C20,F,14.2,32.6,15.4,5,8.7,38.4
0006C77E87,F,14.2,32.6,15.4,1,8.8,39.5
0006C88DAA,F,14.2,32.6,15.4,5,9.8,38.4
0006D1B7FC,M,14.2,32.6,15.4,5,8.4,39.2
0006D776D1,F,14.2,32.6,15.4,5,9.3,37.6
0006D7903C,M,14.2,32.6,15.4,3,9,39.1
0006E9B60D,M,14.2,32.6,15.4,5,9.5,39.3
0006EE199D,M,14.2,32.6,15.4,2,7.8,37.8
0006EE49E3,M,14.2,32.6,15.4,1,7.6,37.6
0006F1EC08,F,14.2,32.6,15.4,3,9,37.6
0006F2261E,F,14.2,32.6,15.4,5,8.9,40.6
0006F236CF,M,14.2,32.6,15.4,1,8.8,39.9
0006F23C6E,M,14.2,32.6,15.4,5,9.2,37.9
00069D1852,M,17.6,31.9,20.7,7,8.2,39.3
0006A9440F,M,17.6,31.9,20.7,6,7.2,37.4
0006C75311,M,17.6,31.9,20.7,7,9.5,39.2
0006C7662C,M,17.6,31.9,20.7,3,8.1,36.7
0006C781EC,F,17.6,31.9,20.7,7,8.9,39.5
0006C88832,M,17.6,31.9,20.7,7,9.7,37.6
0006D74F66,F,17.6,31.9,20.7,6,7.3,38.1
0006DE69A4,F,17.6,31.9,20.7,3,9,38.4
0006DE9621,F,17.6,31.9,20.7,6,9.4,38.6
0006DEADF3,F,17.6,31.9,20.7,7,10.5,40.1
0006E9D973,M,17.6,31.9,20.7,6,8.3,37.7
0006EA32D0,M,17.6,31.9,20.7,6,7.8,37.5
0006EE27FD,M,17.6,31.9,20.7,7,6.9,35.6
0006F1FA46,F,17.6,31.9,20.7,6,7.8,38
0006F23B1E,F,17.6,31.9,20.7,3,10.1,37.7
0006F24D69,F,17.6,31.9,20.7,7,10.2,38.9
00069D10B5,F,13.5,30.2,15.1,15,7.5,37.3
0006A9474D,F,13.5,30.2,15.1,15,8.1,37.6
0006C75771,F,13.5,30.2,15.1,15,8.3,38.8
0006C7597D,M,13.5,30.2,15.1,15,7.2,37.5
0006C899E8,F,13.5,30.2,15.1,15,8.7,37.8
0006D11E2D,M,13.5,30.2,15.1,15,8.2,39.7
0006DFB3BF,F,13.5,30.2,15.1,15,8.6,38.4
0006E92EE4,F,13.5,30.2,15.1,15,9.2,37.8
0006EA2581,M,13.5,30.2,15.1,15,9.7,38.4
0006EB3382,M,13.5,30.2,15.1,15,7.4,38.4
0006EB3C37,M,13.5,30.2,15.1,15,7.7,37.2
0006EE192D,M,13.5,30.2,15.1,15,7.4,38.6
0006F2286F,F,13.5,30.2,15.1,1,9.1,37.7
0006F2449B,M,13.5,30.2,15.1,15,8,38.4
0006F2481C,F,13.5,30.2,15.1,15,9,36.3
0006F25424,M,13.5,30.2,15.1,15,7.2,37.8
00069D3E46,F,13.4,31.3,13.1,9,8.8,37.7
0006A9421F,M,13.4,31.3,13.1,9,8.1,38.6
0006A942F5,M,13.4,31.3,13.1,9,9.3,38.4
0006A94348,M,13.4,31.3,13.1,3,8,38.1
0006A94526,F,13.4,31.3,13.1,3,8.5,37.9
0006A94559,F,13.4,31.3,13.1,9,8.6,36.7
0006A9465F,F,13.4,31.3,13.1,9,7.1,39
0006C7C86E,F,13.4,31.3,13.1,3,9.1,39.4
0006C8918D,M,13.4,31.3,13.1,3,8.1,37.6
0006DEC2AD,M,13.4,31.3,13.1,9,8,36.7
0006E94152,M,13.4,31.3,13.1,9,7.7,38.5
0006E9D96D,M,13.4,31.3,13.1,3,7.4,38.7
0006EA3ED8,M,13.4,31.3,13.1,1,8.4,37.8
0006EA73AD,F,13.4,31.3,13.1,9,8.2,38
0006F23A76,F,13.4,31.3,13.1,9,7.6,39.7
0006F240E3,F,13.4,31.3,13.1,3,8.2,40.5
0006A94313,F,14.8,36.8,14.5,9,10.1,38.1
0006A944DB,F,14.8,36.8,14.5,9,8.5,38.7
0006C7566C,F,14.8,36.8,14.5,4,8.8,38.5
0006C7576F,M,14.8,36.8,14.5,4,8.6,39.4
0006C75A98,M,14.8,36.8,14.5,9,9.7,39.4
0006C7841D,M,14.8,36.8,14.5,4,7.4,37.6
0006C866DD,F,14.8,36.8,14.5,3,8.5,37.2
0006DECB78,M,14.8,36.8,14.5,9,8.1,40.6
0006DF87B8,F,14.8,36.8,14.5,3,8.1,36.8
0006E93493,M,14.8,36.8,14.5,9,7.6,37
0006E9EB6F,F,14.8,36.8,14.5,4,8.1,36.4
0006E9EB7C,F,14.8,36.8,14.5,9,8,36.4
0006EA3C24,M,14.8,36.8,14.5,3,7.1,36.5
0006F22572,F,14.8,36.8,14.5,9,8.3,39.3
0006F23306,M,14.8,36.8,14.5,9,7.7,37.2
0006F245A1,M,14.8,36.8,14.5,9,8.3,37.4
00069D1745,F,10.4,29.6,14.2,16,9.3,38.2
0006A9447B,M,10.4,29.6,14.2,16,7.8,38.5
0006A947CA,M,10.4,29.6,14.2,16,8.4,38.2
0006C751CA,F,10.4,29.6,14.2,16,10.3,41.3
0006C7E968,M,10.4,29.6,14.2,16,8,37.6
0006C882AE,M,10.4,29.6,14.2,16,8.3,37.6
0006C88830,M,10.4,29.6,14.2,16,8.1,38
0006C8B1B6,F,10.4,29.6,14.2,16,8.6,37.5
0006E022A0,F,10.4,29.6,14.2,16,9.2,38.4
0006EA526C,F,10.4,29.6,14.2,16,8.8,38.4
0006EE23EF,F,10.4,29.6,14.2,16,9.8,37.1
0006EE2ABA,M,10.4,29.6,14.2,16,8.5,36.7
0006F1E3F4,F,10.4,29.6,14.2,16,8.5,38.3
0006F22A75,M,10.4,29.6,14.2,16,6.9,36.2
0006F2531C,F,10.4,29.6,14.2,16,8.6,39
0006F25504,M,10.4,29.6,14.2,16,7.3,37.4
0006A940CB,M,10.6,25.2,13,3,8.2,37
0006A943A9,M,10.6,25.2,13,9,7.3,37.4
0006A943D8,F,10.6,25.2,13,9,8.5,37.7
0006C74CD8,M,10.6,25.2,13,3,8.2,40
0006C7537C,F,10.6,25.2,13,2,8.8,37.4
0006C88E95,M,10.6,25.2,13,9,7.6,36.7
0006D78BD3,F,10.6,25.2,13,9,8.6,38.2
0006E9055F,M,10.6,25.2,13,2,13.4,38.5
0006E906DE,F,10.6,25.2,13,1,8.7,35.5
0006E942C5,M,10.6,25.2,13,9,9.3,39.1
0006E94D43,M,10.6,25.2,13,9,7.9,38.1
0006E9EBF1,M,10.6,25.2,13,3,7.3,38.3
0006F1E398,F,10.6,25.2,13,9,8.3,38.2
0006F22AD4,F,10.6,25.2,13,9,12.1,38.4
0006F23BFF,F,10.6,25.2,13,1,8.9,37.5
0006F24BAA,F,10.6,25.2,13,9,8.5,39
00069D1349,F,8,23.2,9.5,13,14.2,39.5
0006AA127F,F,8,23.2,9.5,13,13.6,37.7
0006C76169,M,8,23.2,9.5,13,13.6,38.9
0006C77BF4,F,8,23.2,9.5,1,7.5,37.1
0006C86599,M,8,23.2,9.5,13,12.5,37.8
0006D76E62,F,8,23.2,9.5,13,13.5,38.7
0006E9150F,F,8,23.2,9.5,13,8.2,37.3
0006EA7863,F,8,23.2,9.5,13,9.1,39.3
0006EB42F7,M,8,23.2,9.5,13,8,38.2
0006EE21E9,F,8,23.2,9.5,13,14.6,38
0006EE2405,M,8,23.2,9.5,13,10.5,37.3
0006EE4FA5,M,8,23.2,9.5,13,12.4,37.8
0006F227CA,M,8,23.2,9.5,2,11.6,38.4
0006F246D9,M,8,23.2,9.5,2,12.8,36.8
0007283AB7,M,8,23.2,9.5,13,11.7,36.4
00074F0993,M,8,23.2,9.5,13,12.7,37.6
0006A941D6,M,3.5,18.9,3.2,12,10.7,38.4
0006C75ECE,M,3.5,18.9,3.2,12,13,37.6
0006C7673B,M,3.5,18.9,3.2,12,11.5,37
0006C7673F,F,3.5,18.9,3.2,12,9.2,38.2
0006C7819D,F,3.5,18.9,3.2,12,8.9,38.2
0006D77323,M,3.5,18.9,3.2,2,11.9,38.7
0006E90942,M,3.5,18.9,3.2,2,9.7,37.7
0006E91947,F,3.5,18.9,3.2,12,8.3,37.7
0006E9AFB5,F,3.5,18.9,3.2,12,10.2,40
0006EA33BE,M,3.5,18.9,3.2,12,10.6,37.2
0006EA374F,F,3.5,18.9,3.2,2,8.5,37.8
0006EE1641,F,3.5,18.9,3.2,2,8.2,37.5
0006EE186B,F,3.5,18.9,3.2,12,11.7,38.5
0006F219CA,M,3.5,18.9,3.2,12,11.8,37.5
0006F241DB,F,3.5,18.9,3.2,12,12.6,39.5
0006F24D76,M,3.5,18.9,3.2,12,9.3,39.9
0006A94424,F,5.9,20.6,9.3,9,11.8,37.7
0006C858A6,F,5.9,20.6,9.3,9,13,38.6
0006C8A4A7,M,5.9,20.6,9.3,9,13.2,39.1
0006D12DB5,M,5.9,20.6,9.3,9,13.6,37.3
0006DE9E91,M,5.9,20.6,9.3,5,11.3,38.1
0006DEC4F0,M,5.9,20.6,9.3,1,12,38.4
0006DEC8EF,M,5.9,20.6,9.3,5,10.9,35.6
0006E93556,M,5.9,20.6,9.3,5,13.8,36
0006E93571,F,5.9,20.6,9.3,9,12.9,38.7
0006E9FD91,F,5.9,20.6,9.3,5,12.5,39.5
0006EA2FCD,F,5.9,20.6,9.3,5,12.9,39
0006EA3FAF,M,5.9,20.6,9.3,9,13.3,37.7
0006EA4DA6,F,5.9,20.6,9.3,1,13,38
0006F20AE3,F,5.9,20.6,9.3,9,12,38.2
0006F23614,F,5.9,20.6,9.3,9,10.3,37.2
0006F23DA8,M,5.9,20.6,9.3,9,12.3,38.1